id,name,age,nationality
1,Antonio Conte,53,Italy
2,Brendan Rodgers,49,Northern Ireland
3,Bruno Lage,46,Portugal
4,David Moyes,59,Scotland
5,Dean Smith,51,England
6,Eddie Howe,44,England
7,Frank Lampard,44,England
8,Graham Potter,47,England
9,Jurgen Klopp,55,Germany
10,Marcelo Bielsa,67,Argentina
11,Mikel Arteta,40,Spain
12,Patrick Vieira,46,France
13,Pep Guardiola,51,Spain
14,Ralf Rangnick,64,Germany
15,Ralph Hasenhüttl,55,Austria
16,Sean Dyche,51,England
17,Slaven Bilic,54,Croatia
18,Steven Gerrard,42,England
19,Thomas Frank,49,Denmark
20,Thomas Tuchel,49,Germany
